id,condition,treatment,rep,type
NM2025_0067,normoxia,siCTRL,RepA,Qiagen_miRNA
NM2025_0068,normoxia,siCTRL,RepB,Qiagen_miRNA
NM2025_0069,normoxia,siCTRL,RepC,Qiagen_miRNA
NM2025_0070,normoxia,si3e,RepA,Qiagen_miRNA
NM2025_0071,normoxia,si3e,RepB,Qiagen_miRNA
NM2025_0072,normoxia,si3e,RepC,Qiagen_miRNA
NM2025_0073,normoxia,si3d,RepA,Qiagen_miRNA
NM2025_0074,normoxia,si3d,RepB,Qiagen_miRNA
NM2025_0075,normoxia,si3d,RepC,Qiagen_miRNA
NM2025_0076,hypoxia,siCTRL,RepA,Qiagen_miRNA
NM2025_0077,hypoxia,siCTRL,RepB,Qiagen_miRNA
NM2025_0078,hypoxia,siCTRL,RepC,Qiagen_miRNA
NM2025_0079,hypoxia,si3e,RepA,Qiagen_miRNA
NM2025_0080,hypoxia,si3e,RepB,Qiagen_miRNA
NM2025_0081,hypoxia,si3e,RepC,Qiagen_miRNA
NM2025_0082,hypoxia,si3d,RepA,Qiagen_miRNA
NM2025_0083,hypoxia,si3d,RepB,Qiagen_miRNA
NM2025_0084,hypoxia,si3d,RepC,Qiagen_miRNA
NM2025_0085,normoxia,siCTRL,RepA,KAPA_RNAHyper
NM2025_0086,normoxia,siCTRL,RepB,KAPA_RNAHyper
NM2025_0087,normoxia,siCTRL,RepC,KAPA_RNAHyper
NM2025_0088,normoxia,si3e,RepA,KAPA_RNAHyper
NM2025_0089,normoxia,si3e,RepB,KAPA_RNAHyper
NM2025_0090,normoxia,si3e,RepC,KAPA_RNAHyper
NM2025_0091,normoxia,si3d,RepA,KAPA_RNAHyper
NM2025_0092,normoxia,si3d,RepB,KAPA_RNAHyper
NM2025_0093,normoxia,si3d,RepC,KAPA_RNAHyper
NM2025_0094,hypoxia,siCTRL,RepA,KAPA_RNAHyper
NM2025_0095,hypoxia,siCTRL,RepB,KAPA_RNAHyper
NM2025_0096,hypoxia,siCTRL,RepC,KAPA_RNAHyper
NM2025_0097,hypoxia,si3e,RepA,KAPA_RNAHyper
NM2025_0098,hypoxia,si3e,RepB,KAPA_RNAHyper
NM2025_0099,hypoxia,si3e,RepC,KAPA_RNAHyper
NM2025_0100,hypoxia,si3d,RepA,KAPA_RNAHyper
NM2025_0101,hypoxia,si3d,RepB,KAPA_RNAHyper
NM2025_0102,hypoxia,si3d,RepC,KAPA_RNAHyper
