ID,eif3d_NES,eif3d_pvalue,eif3d_qvalue,eif3e_NES,eif3e_pvalue,eif3e_qvalue,delta,direction
TNFA_SIGNALING_VIA_NFKB,1.1259690015337647,0.19910514541387025,0.5395208451235617,1.708041953182739,5.613791187279822e-4,0.01240943315082908,0.5820729516489744,up_both
HYPOXIA,1.0448621130052478,0.31235955056179776,0.5808021197157653,1.522985564055178,0.01568614808034689,0.11558214374992445,0.47812345104993015,up_both
OXIDATIVE_PHOSPHORYLATION,1.9854036388984668,4.1711800409153415e-4,0.019319149663186846,1.4659580257577103,0.015181060789402848,0.11558214374992445,-0.5194456131407565,up_both
ESTROGEN_RESPONSE_EARLY,-1.4676273816452505,0.010770289989198658,0.24941724185512681,0.9931267042013212,0.46524064171123,0.5402624131721121,2.4607540858465717,up_3e_down_3d
ESTROGEN_RESPONSE_LATE,-1.313151569465569,0.04903677758318739,0.36587932711746535,0.910869885491975,0.7335092348284961,0.7049745506360832,2.224021454957544,up_3e_down_3d
INFLAMMATORY_RESPONSE,-1.4570721049398758,0.043470277760080646,0.36587932711746535,-0.9774093083244259,0.4765886287625418,0.5402624131721121,0.47966279661544997,down_both
MYC_TARGETS_V1,1.486889779065449,0.033464760801504796,0.36587932711746535,-1.3147603831962906,0.054140127388535034,0.27628012217580294,-2.8016501622617396,up_3d_down_3e
PROTEIN_SECRETION,-1.073687925348081,0.3388888888888889,0.6036887089518669,-1.4651185992042621,0.024601500660243348,0.1553778989068001,-0.391430673856181,down_both
E2F_TARGETS,-0.7946577844839927,0.9352640545144804,0.9024477718999372,-1.5945352969612225,0.0012442311358097685,0.0183360377908808,-0.7998775124772298,down_both
PI3K_AKT_MTOR_SIGNALING,-1.3725712489584574,0.05615942028985507,0.36587932711746535,-1.607525112007281,0.014385417136260842,0.11558214374992445,-0.2349538630488237,down_both
G2M_CHECKPOINT,-1.0884122359850943,0.27491408934707906,0.5787665038885875,-1.8010445782560196,1.4990063529139304e-4,0.006627185981303693,-0.7126323422709253,down_both
